id,title,authors,journal,month,year,publication_type
1788,Scalar Aggregation in FD-Inconsistent Databases,"Marcelo Arenas, Leopoldo Bertossi, Jan Chomicki",,,,
1789,Fingerprint enhancement using STFT analysis.,"Sharat Chikkerur, Alexander N. Cartwright, Venu Govindaraju",Pattern Recognition,,2007,article
1790,Fingerprint Enhancement Using STFT Analysis,"Sharat Chikkerur Alex, Er N. Cartwright Venu Govindaraju",,,,
1791,FINGERPRINT IMAGE ENHANCEMENT USING STFT ANALYSIS,"Sharat S. Chikkerur, Er N. Cartwright, Venu Govindaraju",,,,
1792,Fingerprint Image Enhancement Using STFT Analysis,"Sharat Chikkerur, Venu Govindaraju, Er N. Cartwright",,,,
1793,Fingerprint Image Enhancement Using STFT Analysis.,"Sharat Chikkerur, Venu Govindaraju, Alexander N. Cartwright",,,2005,inproceedings
1794,www.elsevier.com/locate/patcog Fingerprint enhancement using STFT analysis,"Sharat Chikkerur, Er N. Cartwright, Venu Govindaraju",,,2006,
1795,RETCON: Transactional Repair without Replay,"Colin Blundell, Arun Raghavan, Milo Martin, Colin Blundell, Arun Raghavan, Milo M. K. Martin",,,2009,
1796,RETCON: transactional repair without replay.,"Colin Blundell, Arun Raghavan, Milo M. K. Martin",,,2010,inproceedings
1797,RETCON: Transactional Repair without Replay,"Colin Blundell, Arun Raghavan, Milo M. K. Martin",,,,
1798,Phantom faces for face analysis.,Laurenz Wiskott,Pattern Recognition,,1997,article
1799,Phantom Faces for Face Analysis,"Laurenz Wiskott, Ruhr-universitat Bochum, Laurenz Wiskott",,,,
1800,Phantom Faces for Face Analysis ,Laurenz Wiskott,,,,
1801,Phantom Faces for Face Analysis.,Laurenz Wiskott,,,1997,inproceedings
1802,Phantom faces for face analysis.,Laurenz Wiskott,,,1997,inproceedings
1803,Phantom Faces for Face Analysis,Laurenz Wiskott,,,,
1804,"Waste Not, Want Not Resource-based Garbage Collection in a Shared Environment","Matthew Hertz, Stephen Kane, Elizabeth Keudel, Tongxin Bai, Chen Ding, Xiaoming Gu, Jonathan E. Bard",,,,
1805,"Waste Not, Want Not Resource-based Garbage Collection in a Shared Environment","Matthew Hertz, Stephen Kane, Elizabeth Keudel, Tongxin Bai, Chen Ding, Xiaoming Gu, Jonathan E. Bard",,,,
1806,"Waste not, want not: resource-based garbage collection in a shared environment.","Matthew Hertz, Stephen Kane, Elizabeth Keudel, Tongxin Bai, Chen Ding, Xiaoming Gu, Jonathan E. Bard",,,2011,inproceedings
1807,A two-stage head pose estimation framework and evaluation.,"Junwen Wu, Mohan M. Trivedi",Pattern Recognition,,2008,article
1808,www.elsevier.com/locate/pr A two-stage head pose estimation framework and evaluation,"Junwen Wu, Mohan M. Trivedi",,,2007,
1809,A Two-stage Head Pose Estimation Framework and Evaluation,"Junwen Wu, Mohan M. Trivedi, Junwen Wu, Mohan M. Trivedi, Junwen Wu",,,,
1810,Biosec baseline corpus: A multimodal biometric database.,"Julian Firrez-Aguilar, Javier Ortega-Garcia, Doroteo Torre Toledano, Joaquin Gonzalez-Rodriguez",Pattern Recognition,,2007,article
1811,* Manuscript BioSec baseline corpus: A multimodal biometric database,"Julian Fierrez-aguilar, Javier Ortega-garcia, Doroteo Torre-toledano, Joaquin Gonzalez-rodriguez",,,,
1812,* Manuscript BioSec baseline corpus: A multimodal biometric database,"Julian Fierrez-aguilar, Javier Ortega-garcia, Doroteo Torre-toledano, Joaquin Gonzalez-rodriguez",,,,
1813,Efficient Link Capacity and QoS Design for Network-on-Chip,"Zvika Guz, Evgeny Bolotin, Israel Cidon, Ran Ginosar, Avinoam Kolodny",,,,
1814,Efficient link capacity and QoS design for network-on-chip.,"Zvika Guz, Isask'har Walter, Evgeny Bolotin, Israel Cidon, Ran Ginosar, Avinoam Kolodny",,,2006,inproceedings
1815,Efficient Link Capacity and QoS Design for Network-on-Chip,"Zvika Guz, Evgeny Bolotin, Israel Cidon, Ran Ginosar, Avinoam Kolodny",,,,
1816,Efficient Link Capacity and QoS Design for Network-on-Chip,"Zvika Guz, Evgeny Bolotin, Israel Cidon, Ran Ginosar, Avinoam Kolodny",,,,
1817,SPECIAL SECTION PAPER Polymorphic scenario-based specification models: semantics and applications,"Shahar Maoz, S. Maoz (b",,,,
1818,Polymorphic Scenario-Based Specification Models: Semantics and Applications.,Shahar Maoz,,,2009,inproceedings
1819,Polymorphic scenario-based specification models: semantics and applications.,Shahar Maoz,Software and System Modeling,,2012,article
1820,Temporal Analysis of Time Bounded Digital Systems,"Alan R. Martello, Steven P. Levitan",,,,
1821,Temporal Analysis of Time Bounded Digital Systems.,"Alan R. Martello, Steven P. Levitan",,,1993,inproceedings
1822,Temporal Analysis of Time Bounded Digital Systems,"Alan R. Martello, Steven P. Levitan",,,,
1823,Exploiting image indexing techniques in DCT domain.,"Chong-Wah Ngo, Ting-Chuen Pong, Roland T. Chin",Pattern Recognition,,2001,article
1824,Exploiting Image Indexing Techniques in DCT Domain,"C. W. Ngo, T. C. Pong, R. T. Chin",,,,
1825,Exploiting image indexing techniques in DCT domain,"Chong-wah Ngo, Ting-chuen Pong, T. Chin",,,2000,
1826,Exploiting Image Indexing Techniques in DCT Domain.,"Chong-Wah Ngo, Ting-Chuen Pong, Roland T. Chin",,,1998,inproceedings
1827,Shift detection by restoration.,"Klaus Voss, Herbert Se, Wolfgang Ortmann, Torsten Baumbach",Pattern Recognition,,1999,article
1828,Shift Detection by Restoration.,"Herbert Se, Klaus Voss, Wolfgang Ortmann, Torsten Baumbach",,,1999,inproceedings
1829,Shift Detection by Restoration,"Klaus Voss, Herbert Suesse, Wolfgang Ortmann, Torsten Baumbach",,,2001,
1830,Image-Based Bidirectional Scene Reprojection,Er Jason Lawrence Diego Nehab,,,2010,
1831,Image-Based Bidirectional Scene Reprojection,Er Jason Lawrence Diego Nehab,,,,
1832,Image-based bidirectional scene reprojection.,"Lei Yang, Yu-Chiu Tse, Pedro V. Sander, Jason Lawrence, Diego Nehab, Hugues Hoppe, Clara L. Wilkins",ACM Trans. Graph.,,2011,article
1833,Assessing the behaviour of polygonal approximation algorithms.,Paul L. Rosin,Pattern Recognition,,2003,article
1834,Assessing the Behaviour of Polygonal Approximation Algorithms.,Paul L. Rosin,,,1998,inproceedings
1835,Assessing the Behaviour of Polygonal Approximation Algorithms,Paul L. Rosin,,,,
1836,Genetic algorithms for ambiguous labelling problems.,"Richard Myers, Edwin R. Hancock",Pattern Recognition,,2000,article
1837,Genetic Algorithms for Ambiguous Labelling Problems.,"Richard Myers, Edwin R. Hancock",,,1997,inproceedings
1838,Genetic algorithms for ambiguous labelling problems,"Richard Myers, Edwin R. Hancock",,,1999,
1839,Efficient 3D reconstruction for face recognition.,"Dalong Jiang, Yuxiao Hu, Shuicheng Yan, Lei Zhang 0001, HongJiang Zhang, Wen Gao",Pattern Recognition,,2005,article
1840,Efficient 3D Reconstruction for Face Recognition,"Dalong Jiang, Yuxiao Hu, Shuicheng Yan, Lei Zhang, Hongjiang Zhang, Wen Gao",,,,
1841,Efficient 3D reconstruction for face recognition www.elsevier.com/locate/patcog,"Dalong Jiang A, Yuxiao Hu C, Shuichengyan D, Lei Zhang C, Hongjiang Zhang C, Wen Gao A B",,,2004,
1842,R R O CODING THEORETIC APPROACH TO IMAGE SEGMENTATION,"Unoma Ndili, Robert D. Nowak, Mrio A. T. Figueiredo",,,,
1843,CODING THEORETIC APPROACH TO IMAGE SEGMENTATION,"Unoma Ndili, Robert D. Nowak, M Ario A. T. Figueiredo",,,,
1844,Coding theoretic approach to image segmentation.,"Unoma Ndili, Robert D. Nowak, Mrio A. T. Figueiredo",,,2001,inproceedings
1845,CODING THEORETIC APPROACH TO IMAGE SEGMENTATION,"Unoma Ndili, Robert D. Nowak",,,,
1846,CODING THEORETIC APPROACH TO IMAGE SEGMENTATION,"Unoma Ndili, Robert D. Nowak",,,,
1847,Learning fingerprint minutiae location and type.,"Salil Prabhakar, Anil K. Jain, Sharath Pankanti",Pattern Recognition,,2003,article
1848,Learning Fingerprint Minutiae Location and Type ,"Salil Prabhakar, Anil K. Jain, Sharath Pankanti",,,,
1849,Learning Fingerprint Minutiae Location and Type ,"Salil Prabhakar, Anil K. Jain, Sharath Pankanti",,,,
1850,Visual segment tree creation for MPEG-7 Description Schemes.,"Philippe Salembier, Joan Llach, Luis Garrido",Pattern Recognition,,2002,article
1851,VISUAL SEGMENT TREE CREATION FOR MPEG-7 DESCRIPTION SCHEMES,"Joan Llach, Luis Garrido",,,,
1852,Visual Segment Tree Creation for MPEG-7 Description Schemes.,"Philippe Salembier, Joan Llach, Luis Garrido",,,2000,inproceedings
1853,Visual segment tree creation for MPEG-7 Description Schemes,"Joan Llach B, Luis Garrido A",,,2000,
1854,Term Rewriting for Access Control,"Steve Barker, Maribel Fernndez",,,,
1855,Term Rewriting for Access Control.,"Steve Barker, Maribel Fernndez",,,2006,inproceedings
1856,Term Rewriting for Access Control,"Steve Barker, Maribel Fernndez",,,,
1857,Preserving Coordination Properties when Transforming Concurrent System Components ,"Gudmund Grov, Robert Pointon, Greg Michaelson, Andrew Irel",,,,
1858,Preserving coordination properties when transforming concurrent system components.,"Gudmund Grov, Robert F. Pointon, Greg Michaelson, Andrew Ireland",,,2008,inproceedings
1859,Preserving Coordination Properties when Transforming Concurrent System Components,"Gudmund Grov, Robert Pointon, Greg Michaelson, Andrew Irel",,,,
1860,Assessing agreement between human and machine clusterings of image databases.,"David McG. Squire, Thierry Pun",Pattern Recognition,,1998,article
1861,Assessing Agreement Between Human and Machine Clusterings of Image Databases,"Universite De Geneve, David Mcg, Squire Thierry Pun",,,1997,
1862,Assessing Agreement Between Human and Machine Clusterings of Image Databases,"David Mcg Squire, Thierry Pun",,,,
1863,Assessing Agreement Between Human and Machine Clusterings of Image Databases ,"David Mcg Squire, Thierry Pun",,,,
1864,VISION Assessing Agreement Between Human and Machine Clusterings of Image Databases,"Universite De Geneve, David Mcg, Squire Thierry Pun",,,,
1865,From Runtime Verification to Evolvable Systems,"Howard Barringer, Dov Gabbay, David Rydeheard",,,,
1866,From Runtime Verification to Evolvable Systems,"Howard Barringer, Dov Gabbay, David Rydeheard",,,,
1867,From Runtime Verification to Evolvable Systems.,"Howard Barringer, Dov M. Gabbay, David E. Rydeheard",,,2007,inproceedings
1868,From Runtime Verification to Evolvable Software,"Howard Barringer, David Rydeheard, Dov Gabbay",,,2007,
1869,1 Social Network User Lifetime,"Juan Lang, S. Felix Wu",,,,
1870,Social Network User Lifetime.,"Juan Lang, Shyhtsun Felix Wu",,,2011,inproceedings
1871,Social network user lifetime.,"Juan Lang, Shyhtsun Felix Wu",Social Netw. Analys. Mining,,2013,article
1872,Social Welfare in One-sided Matching Markets without Money,"Bhalgat Deeparnab, Chakrabarty Sanjeev Khanna",,,,
1873,Social Welfare in One-Sided Matching Markets without Money.,"Anand Bhalgat, Deeparnab Chakrabarty, Sanjeev Khanna",,,2011,inproceedings
1874,Social Welfare in One-sided Matching Markets without Money,"Anand Bhalgat, Deeparnab Chakrabarty, Sanjeev Khanna",CoRR,,2011,article
1875,Accurate and efficient curve detection in images: the importance sampling Hough transform.,"Daniel Walsh, Adrian E. Raftery",Pattern Recognition,,2002,article
1876,Accurate and Ecient Curve Detection in Images: The Importance Sampling Hough Transform,"Daniel Walsh, Adrian E. Raftery",,,,
1877,Accurate and Ecient Curve Detection in Images: The Importance Sampling Hough Transform,"Daniel Walsh, Adrian E. Raftery",,,,
1878,Illumination color covariant locale-based visual object retrieval.,"Mark S. Drew, Ze-Nian Li, Zinovi Tauber",Pattern Recognition,,2002,article
1879,Illumination color covariant locale-based visual object retrieval,"Mark S. Drew, Ze-nian Li, Zinovi Tauber",,,2001,
1880,Illumination Color Covariant Locale-Based Visual Object Retrieval,"Mark S. Drew, Ze-nian Li, Zinovi Tauber",,,,
1881,Lossless compression of pre-press images using a novel colour decorrelation technique.,"Steven Van Assche, Wilfried Philips, Ignace Lemahieu",Pattern Recognition,,1999,article
1882,Lossless Compression of Pre-Press Images Using a Novel Color Decorrelation Technique,"Steven Van Assche, Wilfried Philips, Ignace Lemahieu",,,,
1883,Lossless Compression of Pre-press Images Using a Novel Colour Decorrelation Technique.,"Steven Van Assche, Wilfried Philips, Ignace Lemahieu",,,1997,inproceedings
1884,An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.,"Kam-Fai Chan, Dit-Yan Yeung",Pattern Recognition,,2000,article
1885,An Efficient Syntactic Approach to Structural Analysis of On-line Handwritten Mathematical Expressions,"Kam-fai Chan, Dit-yan Yeung",,,,
1886,An Efficient Syntactic Approach to Structural Analysis of On-line Handwritten Mathematical Expressions,"Kam-fai Chan, Dit-yan Yeung",,,,
1887,DISCRIMINATIVE CLASSIFIERS WITH ADAPTIVE KERNELS FOR NOISE ROBUST SPEECH RECOGNITION,"M. J. F. Gales, F. Flego",,,,
1888,Discriminative classifiers with adaptive kernels for noise robust speech recognition.,"M. J. F. Gales, Federico Flego",Computer Speech & Language,,2010,article
1889,DISCRIMINATIVE CLASSIFIERS WITH GENERATIVE KERNELS FOR NOISE ROBUST SPEECH RECOGNITION,"M. J. F. Gales, F. Flego",,,2008,
1890,Understanding the Thermal Implications of Multicore Architectures,"Pedro Chaparro, Jos Gonzlez, Ieee Computer Society, Grigorios Magklis, Ieee Computer Society, Qiong Cai, Antonio Gonzlez",,,,
1891,Understanding the Thermal Implications of Multicore Architectures,"Pedro Chaparro, Jos Gonzlez, Ieee Computer Society, Grigorios Magklis, Ieee Computer Society, Qiong Cai, Antonio Gonzlez",,,,
1892,Understanding the Thermal Implications of Multi-Core Architectures.,"Pedro Chaparro, Jos Gonzlez, Grigorios Magklis, Qiong Cai, Antonio Gonzlez",IEEE Trans. Parallel Distrib. Syst.,,2007,article
1893,SurroundSense: Mobile Phone Localization via Ambience,"Martin Azizyan, Ionut Constandache, Romit Roy Choudhury",,,,
1894,SurroundSense: mobile phone localization via ambience fingerprinting.,"Martin Azizyan, Ionut Constandache, Romit Roy Choudhury",,,2009,inproceedings
1895,SurroundSense: Mobile Phone Localization via Ambience,"Martin Azizyan, Ionut Constandache, Romit Roy Choudhury",,,,
1896,Studying the impact of web-services implementation of distributed simulation of DEVS and Cell-DEVS models.,"Rami Madhoun, Gabriel A. Wainer",,,2007,inproceedings
1897,Studying the Impact of Web-Services Implementation of Distributed Simulation of DEVS and Cell-DEVS Models,Rami Madhoun,,,,
1898,Studying the Impact of Web-Services Implementation of Distributed Simulation of DEVS and Cell-DEVS Models,Rami Madhoun,,,,
1899,A system-on-chip FPGA implementation of embedded CD++.,"Mohammad Moallemi, Gabriel A. Wainer",,,2009,inproceedings
1900,A System-On-Chip FPGA Implementation of Embedded CD++,"Mohammad Moallemi, Gabriel Wainer",,,,
1901,A System-On-Chip FPGA Implementation of Embedded CD++,"Mohammad Moallemi, Gabriel Wainer",,,,
1902,Automatic Network Protocol Analysis,"Gilbert Wondracek, Paolo Milani Comparetti, Christopher Kruegel, Engin Kirda, Scuola Superiore S. Anna",,,,
1903,Automatic Network Protocol Analysis,"Gilbert Wondracek, Paolo Milani Comparetti, Christopher Kruegel, Engin Kirda, Scuola Superiore S. Anna",,,,
1904,Automatic Network Protocol Analysis.,"Gilbert Wondracek, Paolo Milani Comparetti, Christopher Krgel, Engin Kirda",,,2008,inproceedings
1905,Automatic Network Protocol Analysis,"Gilbert Wondracek, Paolo Milani Comparetti, Christopher Kruegel, Engin Kirda, Scuola Superiore S. Anna",,,,
1906,Automatic Network Protocol Analysis,"Gilbert Wondracek, Paolo Milani Comparetti, Christopher Kruegel, Engin Kirda, Scuola Superiore S. Anna",,,,
1907,Automatic Network Protocol Analysis,"Gilbert Wondracek, Paolo Milani Comparetti, Christopher Kruegel, Engin Kirda",,,,
1908,In Collecting Highly Parallel Data for Paraphrase Evaluation,"David L. Chen, William B. Dolan",,,,
1909,Collecting Highly Parallel Data for Paraphrase Evaluation,"David L. Chen, William B. Dolan",,,,
1910,Collecting Highly Parallel Data for Paraphrase Evaluation.,"David Chen, William B. Dolan",,,2011,inproceedings
1911,Collecting Highly Parallel Data for Paraphrase Evaluation,"David L. Chen, William B. Dolan",,,,
1912,Optimal Lower Bounds for Universal and Differentially Private Steiner Trees and TSPs,"Bhalgat Deeparnab, Chakrabarty Sanjeev Khanna",,,,
1913,Optimal Lower Bounds for Universal and Differentially Private Steiner Trees and TSPs.,"Anand Bhalgat, Deeparnab Chakrabarty, Sanjeev Khanna",,,2011,inproceedings
1914,Optimal Lower Bounds for Universal and Differentially Private Steiner Tree and TSP,"Anand Bhalgat, Deeparnab Chakrabarty, Sanjeev Khanna",CoRR,,2010,article
1915,Effective Radii of On-Chip Decoupling Capacitors,"Mikhail Popovich, Michael Sotman, Avinoam Kolodny, Eby G. Friedman",,,,
1916,Effective Radii of On-Chip Decoupling Capacitors,"Mikhail Popovich, Michael Sotman, Avinoam Kolodny, Eby G. Friedman",,,,
1917,Effective Radii of On-Chip Decoupling Capacitors.,"Mikhail Popovich, Michael Sotman, Avinoam Kolodny, Eby G. Friedman",IEEE Trans. VLSI Syst.,,2008,article
1918,Self-Organizing and Scalable Shape Formation for a Swarm of Pico Satellites.,"Carlo Pinciroli, Mauro Birattari, Elio Tuci, Marco Dorigo, Marco del Rey Zapatero, Tamas Vinko, Dario Izzo",,,2008,inproceedings
